Team,Games,Wins,Losses,WinPct,turnovers,pts,PM,x,y
Atlanta Hawks,82,38,44,0.46299999999999997,15.3,101.0,-0.5,-0.5,0.46299999999999997
Boston Celtics,82,25,57,0.305,15.4,96.2,-4.5,-4.5,0.305
Brooklyn Nets,82,44,38,0.537,14.5,98.5,-1.0,-1.0,0.537
Charlotte Bobcats,82,43,39,0.524,12.3,96.9,-0.2,-0.2,0.524
Chicago Bulls,82,48,34,0.585,14.9,93.7,1.9,1.9,0.585
Cleveland Cavaliers,82,33,49,0.402,14.2,98.2,-3.3,-3.3,0.402
Dallas Mavericks,82,49,33,0.598,13.5,104.8,2.4,2.4,0.598
Denver Nuggets,82,36,46,0.439,15.9,104.4,-2.1,-2.1,0.439
Detroit Pistons,82,29,53,0.354,14.5,101.0,-3.7,-3.7,0.354
Golden State Warriors,82,51,31,0.622,15.2,104.3,4.8,4.8,0.622
Houston Rockets,82,54,28,0.659,16.1,107.7,4.6,4.6,0.659
Indiana Pacers,82,56,26,0.6829999999999999,15.1,96.7,4.4,4.4,0.6829999999999999
Los Angeles Clippers,82,57,25,0.695,13.9,107.9,7.0,7.0,0.695
Los Angeles Lakers,82,27,55,0.32899999999999996,15.1,103.0,-6.3,-6.3,0.32899999999999996
Memphis Grizzlies,82,50,32,0.61,13.7,96.1,1.6,1.6,0.61
Miami Heat,82,54,28,0.659,14.8,102.2,4.8,4.8,0.659
Milwaukee Bucks,82,15,67,0.183,15.1,95.5,-8.2,-8.2,0.183
Minnesota Timberwolves,82,40,42,0.488,13.9,106.9,2.7,2.7,0.488
New Orleans Pelicans,82,34,48,0.415,13.8,99.7,-2.7,-2.7,0.415
New York Knicks,82,37,45,0.451,13.0,98.6,-0.8,-0.8,0.451
Oklahoma City Thunder,82,59,23,0.72,15.3,106.2,6.3,6.3,0.72
Orlando Magic,82,23,59,0.28,14.9,96.5,-5.4,-5.4,0.28
Philadelphia 76ers,82,19,63,0.23199999999999998,16.9,99.5,-10.5,-10.5,0.23199999999999998
Phoenix Suns,82,48,34,0.585,15.3,105.2,2.6,2.6,0.585
Portland Trail Blazers,82,54,28,0.659,13.7,106.7,4.0,4.0,0.659
Sacramento Kings,82,28,54,0.341,15.2,100.5,-2.9,-2.9,0.341
San Antonio Spurs,82,62,20,0.7559999999999999,14.4,105.4,7.7,7.7,0.7559999999999999
Toronto Raptors,82,48,34,0.585,14.1,101.3,3.2,3.2,0.585
Utah Jazz,82,25,57,0.305,14.6,95.0,-7.2,-7.2,0.305
Washington Wizards,82,44,38,0.537,14.7,100.7,1.3,1.3,0.537
